title,都道府県(JIS)コード
type,jis,integer
#DATA
key,value,position,jis,name,full_name
HOKKAIDO,hokkaido,1,1,北海道,北海道
AOMORI,aomori,2,2,青森,青森県
IWATE,iwate,3,3,岩手,岩手県
MIYAGI,miyagi,4,4,宮城,宮城県
AKITA,akita,5,5,秋田,秋田県
YAMAGATA,yamagata,6,6,山形,山形県
FUKUSHIMA,fukushima,7,7,福島,福島県
IBARAKI,ibaraki,8,8,茨城,茨城県
TOCHIGI,tochigi,9,9,栃木,栃木県
GUNMA,gunma,10,10,群馬,群馬県
SAITAMA,saitama,11,11,埼玉,埼玉県
CHIBA,chiba,12,12,千葉,千葉県
TOKYO,tokyo,13,13,東京,東京都
KANAGAWA,kanagawa,14,14,神奈川,神奈川県
NIIGATA,niigata,15,15,新潟,新潟県
TOYAMA,toyama,16,16,富山,富山県
ISHIKAWA,ishikawa,17,17,石川,石川県
FUKUI,fukui,18,18,福井,福井県
YAMANASHI,yamanashi,19,19,山梨,山梨県
NAGANO,nagano,20,20,長野,長野県
GIFU,gifu,21,21,岐阜,岐阜県
SHIZUOKA,shizuoka,22,22,静岡,静岡県
AICHI,aichi,23,23,愛知,愛知県
MIE,mie,24,24,三重,三重県
SHIGA,shiga,25,25,滋賀,滋賀県
KYOTO,kyoto,26,26,京都,京都府
OSAKA,osaka,27,27,大阪,大阪府
HYOGO,hyogo,28,28,兵庫,兵庫県
NARA,nara,29,29,奈良,奈良県
WAKAYAMA,wakayama,30,30,和歌山,和歌山県
TOTTORI,tottori,31,31,鳥取,鳥取県
SHIMANE,shimane,32,32,島根,島根県
OKAYAMA,okayama,33,33,岡山,岡山県
HIROSHIMA,hiroshima,34,34,広島,広島県
YAMAGUCHI,yamaguchi,35,35,山口,山口県
TOKUSHIMA,tokushima,36,36,徳島,徳島県
KAGAWA,kagawa,37,37,香川,香川県
EHIME,ehime,38,38,愛媛,愛媛県
KOUCHI,kochi,39,39,高知,高知県
FUKUOKA,fukuoka,40,40,福岡,福岡県
SAGA,saga,41,41,佐賀,佐賀県
NAGASAKI,nagasaki,42,42,長崎,長崎県
KUMAMOTO,kumamoto,43,43,熊本,熊本県
OITA,oita,44,44,大分,大分県
MIYAZAKI,miyazaki,45,45,宮崎,宮崎県
KAGOSHIMA,kagoshima,46,46,鹿児島,鹿児島県
OKINAWA,okinawa,47,47,沖縄,沖縄県

